Subject	stimulus	trial_type	language	prior.lang	rt	z.ic
1	dog.jpg	switch	L2	L1	1010	0.624212786
1	heart.jpg	non-switch	L2	L2	724	0.624212786
1	house.jpg	switch	L1	L2	691	0.624212786
1	book.jpg	switch	L3	L1	1937	0.624212786
1	table.jpg	non-switch	L3	L3	772	0.624212786
1	bear.jpg	non-switch	L3	L3	638	0.624212786
1	cat.jpg	switch	L1	L3	919	0.624212786
1	cat.jpg	non-switch	L1	L1	587	0.624212786
1	bear.jpg	non-switch	L1	L1	734	0.624212786
1	table.jpg	switch	L2	L1	1418	0.624212786
1	heart.jpg	non-switch	L3	L3	619	0.624212786
1	house.jpg	non-switch	L3	L3	802	0.624212786
1	book.jpg	non-switch	L3	L3	2286	0.624212786
1	dog.jpg	non-switch	L3	L3	2422	0.624212786
1	car.jpg	non-switch	L3	L3	1080	0.624212786
1	pencil.jpg	non-switch	L3	L3	750	0.624212786
1	cat.jpg	switch	L2	L3	1721	0.624212786
1	pencil.jpg	non-switch	L2	L2	1466	0.624212786
1	chair.jpg	non-switch	L2	L2	645	0.624212786
1	table.jpg	switch	L3	L2	1031	0.624212786
1	house.jpg	non-switch	L3	L3	681	0.624212786
1	book.jpg	switch	L1	L3	747	0.624212786
1	heart.jpg	non-switch	L1	L1	775	0.624212786
1	car.jpg	switch	L2	L1	821	0.624212786
1	bear.jpg	non-switch	L2	L2	593	0.624212786
1	chair.jpg	switch	L3	L2	757	0.624212786
1	heart.jpg	non-switch	L3	L3	899	0.624212786
1	house.jpg	non-switch	L3	L3	802	0.624212786
1	book.jpg	non-switch	L3	L3	1833	0.624212786
1	dog.jpg	non-switch	L3	L3	930	0.624212786
1	car.jpg	switch	L2	L3	869	0.624212786
1	pencil.jpg	switch	L1	L2	1284	0.624212786
1	house.jpg	non-switch	L3	L3	718	0.624212786
1	cat.jpg	non-switch	L3	L3	1157	0.624212786
1	table.jpg	switch	L1	L3	1232	0.624212786
1	chair.jpg	non-switch	L1	L1	671	0.624212786
1	house.jpg	switch	L3	L1	690	0.624212786
1	car.jpg	non-switch	L3	L3	764	0.624212786
1	dog.jpg	switch	L1	L3	1036	0.624212786
1	heart.jpg	non-switch	L1	L1	670	0.624212786
1	cat.jpg	non-switch	L1	L1	641	0.624212786
1	table.jpg	non-switch	L1	L1	582	0.624212786
1	car.jpg	switch	L2	L1	1041	0.624212786
1	house.jpg	non-switch	L2	L2	942	0.624212786
1	chair.jpg	switch	L3	L2	983	0.624212786
1	pencil.jpg	non-switch	L3	L3	684	0.624212786
1	book.jpg	non-switch	L3	L3	787	0.624212786
1	cat.jpg	non-switch	L3	L3	744	0.624212786
1	bear.jpg	non-switch	L3	L3	762	0.624212786
1	table.jpg	switch	L1	L3	1153	0.624212786
1	chair.jpg	non-switch	L1	L1	982	0.624212786
1	heart.jpg	non-switch	L1	L1	565	0.624212786
1	house.jpg	non-switch	L1	L1	700	0.624212786
1	book.jpg	non-switch	L1	L1	937	0.624212786
1	dog.jpg	switch	L3	L1	902	0.624212786
1	car.jpg	non-switch	L3	L3	833	0.624212786
1	pencil.jpg	non-switch	L3	L3	707	0.624212786
1	cat.jpg	non-switch	L3	L3	762	0.624212786
1	house.jpg	switch	L2	L3	1023	0.624212786
1	book.jpg	non-switch	L2	L2	2002	0.624212786
1	cat.jpg	non-switch	L2	L2	862	0.624212786
1	bear.jpg	switch	L1	L2	1157	0.624212786
1	table.jpg	non-switch	L1	L1	668	0.624212786
1	chair.jpg	non-switch	L1	L1	1714	0.624212786
1	heart.jpg	non-switch	L1	L1	1851	0.624212786
1	house.jpg	non-switch	L1	L1	649	0.624212786
1	book.jpg	switch	L3	L1	777	0.624212786
1	dog.jpg	non-switch	L3	L3	730	0.624212786
1	car.jpg	switch	L1	L3	1654	0.624212786
1	pencil.jpg	non-switch	L1	L1	1269	0.624212786
1	chair.jpg	non-switch	L1	L1	1638	0.624212786
1	pencil.jpg	non-switch	L1	L1	688	0.624212786
1	house.jpg	switch	L2	L1	983	0.624212786
1	book.jpg	switch	L3	L2	821	0.624212786
1	dog.jpg	non-switch	L3	L3	824	0.624212786
1	table.jpg	non-switch	L3	L3	934	0.624212786
1	bear.jpg	switch	L1	L3	978	0.624212786
1	car.jpg	non-switch	L1	L1	661	0.624212786
1	cat.jpg	non-switch	L1	L1	701	0.624212786
1	cat.jpg	non-switch	L1	L1	694	0.624212786
1	bear.jpg	non-switch	L1	L1	692	0.624212786
1	table.jpg	non-switch	L1	L1	710	0.624212786
1	chair.jpg	non-switch	L1	L1	580	0.624212786
1	heart.jpg	switch	L3	L1	1007	0.624212786
1	house.jpg	switch	L1	L3	864	0.624212786
1	book.jpg	non-switch	L1	L1	831	0.624212786
1	dog.jpg	non-switch	L1	L1	679	0.624212786
1	car.jpg	non-switch	L1	L1	805	0.624212786
1	pencil.jpg	switch	L2	L1	879	0.624212786
1	cat.jpg	switch	L3	L2	836	0.624212786
1	house.jpg	non-switch	L3	L3	723	0.624212786
1	book.jpg	non-switch	L3	L3	578	0.624212786
1	chair.jpg	non-switch	L3	L3	1029	0.624212786
1	car.jpg	non-switch	L3	L3	866	0.624212786
1	pencil.jpg	non-switch	L3	L3	692	0.624212786
1	chair.jpg	non-switch	L3	L3	751	0.624212786
1	house.jpg	non-switch	L3	L3	674	0.624212786
1	bear.jpg	non-switch	L3	L3	639	0.624212786
1	heart.jpg	switch	L2	L3	1509	0.624212786
1	pencil.jpg	non-switch	L2	L2	815	0.624212786
1	house.jpg	non-switch	L2	L2	1680	0.624212786
1	cat.jpg	switch	L1	L2	818	0.624212786
1	chair.jpg	non-switch	L1	L1	683	0.624212786
1	book.jpg	switch	L3	L1	738	0.624212786
1	bear.jpg	non-switch	L3	L3	692	0.624212786
1	dog.jpg	switch	L1	L3	967	0.624212786
1	chair.jpg	non-switch	L1	L1	585	0.624212786
1	cat.jpg	non-switch	L1	L1	1079	0.624212786
1	book.jpg	switch	L3	L1	675	0.624212786
1	car.jpg	non-switch	L3	L3	955	0.624212786
1	table.jpg	switch	L1	L3	966	0.624212786
1	house.jpg	non-switch	L1	L1	701	0.624212786
1	pencil.jpg	switch	L3	L1	923	0.624212786
1	dog.jpg	non-switch	L3	L3	915	0.624212786
1	bear.jpg	switch	L2	L3	1746	0.624212786
1	heart.jpg	non-switch	L2	L2	637	0.624212786
1	house.jpg	non-switch	L2	L2	682	0.624212786
1	pencil.jpg	non-switch	L2	L2	590	0.624212786
1	dog.jpg	switch	L3	L2	853	0.624212786
1	table.jpg	switch	L2	L3	1987	0.624212786
1	car.jpg	non-switch	L2	L2	938	0.624212786
1	cat.jpg	switch	L3	L2	1601	0.624212786
1	table.jpg	non-switch	L3	L3	923	0.624212786
1	heart.jpg	non-switch	L3	L3	1528	0.624212786
1	chair.jpg	non-switch	L3	L3	773	0.624212786
1	cat.jpg	switch	L2	L3	1070	0.624212786
1	book.jpg	switch	L3	L2	710	0.624212786
1	car.jpg	non-switch	L3	L3	1085	0.624212786
1	table.jpg	switch	L1	L3	1229	0.624212786
1	house.jpg	non-switch	L1	L1	2449	0.624212786
1	pencil.jpg	non-switch	L1	L1	1249	0.624212786
1	dog.jpg	switch	L2	L1	935	0.624212786
1	bear.jpg	non-switch	L2	L2	1958	0.624212786
1	heart.jpg	non-switch	L2	L2	859	0.624212786
1	table.jpg	non-switch	L2	L2	996	0.624212786
1	house.jpg	non-switch	L2	L2	816	0.624212786
1	heart.jpg	non-switch	L2	L2	614	0.624212786
1	chair.jpg	non-switch	L2	L2	735	0.624212786
1	cat.jpg	non-switch	L2	L2	1041	0.624212786
1	book.jpg	switch	L1	L2	883	0.624212786
1	car.jpg	non-switch	L1	L1	1369	0.624212786
1	table.jpg	switch	L3	L1	861	0.624212786
1	house.jpg	non-switch	L3	L3	798	0.624212786
1	pencil.jpg	non-switch	L3	L3	923	0.624212786
1	dog.jpg	non-switch	L3	L3	810	0.624212786
1	bear.jpg	non-switch	L3	L3	687	0.624212786
1	heart.jpg	switch	L1	L3	969	0.624212786
1	table.jpg	non-switch	L1	L1	745	0.624212786
1	house.jpg	non-switch	L1	L1	1304	0.624212786
1	book.jpg	non-switch	L1	L1	734	0.624212786
1	heart.jpg	non-switch	L1	L1	722	0.624212786
1	chair.jpg	non-switch	L1	L1	1063	0.624212786
1	cat.jpg	non-switch	L1	L1	710	0.624212786
1	car.jpg	non-switch	L3	L3	827	0.624212786
1	table.jpg	non-switch	L3	L3	975	0.624212786
1	house.jpg	non-switch	L3	L3	814	0.624212786
1	dog.jpg	switch	L2	L1	802	0.624212786
1	bear.jpg	non-switch	L2	L2	1185	0.624212786
1	heart.jpg	switch	L1	L2	937	0.624212786
1	table.jpg	non-switch	L1	L1	667	0.624212786
1	heart.jpg	non-switch	L1	L1	731	0.624212786
1	chair.jpg	non-switch	L1	L1	1368	0.624212786
1	cat.jpg	switch	L3	L1	997	0.624212786
1	book.jpg	non-switch	L3	L3	523	0.624212786
1	car.jpg	non-switch	L3	L3	719	0.624212786
1	table.jpg	switch	L1	L3	849	0.624212786
1	house.jpg	non-switch	L1	L1	944	0.624212786
1	pencil.jpg	non-switch	L1	L1	663	0.624212786
1	dog.jpg	switch	L2	L1	765	0.624212786
1	bear.jpg	non-switch	L2	L2	721	0.624212786
1	cat.jpg	non-switch	L2	L2	1298	0.624212786
1	bear.jpg	non-switch	L2	L2	700	0.624212786
1	chair.jpg	non-switch	L2	L2	838	0.624212786
1	dog.jpg	switch	L1	L2	968	0.624212786
1	pencil.jpg	switch	L2	L1	800	0.624212786
1	heart.jpg	switch	L1	L2	770	0.624212786
1	book.jpg	switch	L3	L1	894	0.624212786
1	table.jpg	non-switch	L3	L3	822	0.624212786
1	house.jpg	non-switch	L3	L3	584	0.624212786
1	chair.jpg	non-switch	L3	L3	2460	0.624212786
1	heart.jpg	non-switch	L3	L3	705	0.624212786
1	cat.jpg	switch	L2	L3	2043	0.624212786
1	book.jpg	non-switch	L2	L2	2226	0.624212786
1	house.jpg	switch	L3	L2	790	0.624212786
1	pencil.jpg	non-switch	L3	L3	759	0.624212786
1	car.jpg	non-switch	L2	L2	780	0.624212786
1	dog.jpg	non-switch	L2	L2	1404	0.624212786
1	table.jpg	switch	L3	L2	928	0.624212786
1	book.jpg	non-switch	L3	L3	797	0.624212786
